sequence,pH,activity
DODAa1,5,0.1149
DODAa1,5.5,0.213
DODAa1,6,0.826
DODAa1,6.5,0.3463
DODAa1,7,0.4637
DODAa1,7.5,0.3147
DODAa1,8,0.3213
DODAa1,8.5,0.2544
DODAa1,5,0.3627
DODAa1,5.5,0.4046
DODAa1,6,0.9811
DODAa1,6.5,0.4891
DODAa1,7,0.6241
DODAa1,7.5,0.4321
DODAa1,8,0.4912
DODAa1,8.5,0.5523
DODAa2,5,0.1669
DODAa2,5.5,-0.05709
DODAa2,6,0.06148
DODAa2,6.5,0.2262
DODAa2,7,0.6214
DODAa2,7.5,1.1133
DODAa2,8,0.9574
DODAa2,8.5,1.2297
DODAa2,5,0.2415
DODAa2,5.5,0.1032
DODAa2,6,0.1296
DODAa2,6.5,0.2964
DODAa2,7,0.7202
DODAa2,7.5,1.2099
DODAa2,8,1.2495
DODAa2,8.5,1.2033
DODAa2-mut3,5,0.4787
DODAa2-mut3,5.5,0.1208
DODAa2-mut3,6,0.2174
DODAa2-mut3,6.5,0.4853
DODAa2-mut3,7,1.1616
DODAa2-mut3,7.5,2.0444
DODAa2-mut3,8,2.1366
DODAa2-mut3,8.5,2.5011
DODAa2-mut3,5,0.3931
DODAa2-mut3,5.5,0.1537
DODAa2-mut3,6,0.2745
DODAa2-mut3,6.5,0.4502
DODAa2-mut3,7,1.1616
DODAa2-mut3,7.5,2.3298
DODAa2-mut3,8,1.9807
DODAa2-mut3,8.5,2.2486
