sequence,ldopa,activity
DODAa2,0,0.191
DODAa2,0.127,0.547
DODAa2,0.25,0.83
DODAa2,0.38,0.881
DODAa2,0.51,1.052
DODAa2,0.63,1.037
DODAa2,1.26,1.366
DODAa2,1.9,1.719
DODAa2,2.53,2.128
DODAa2,3.166,2.697
DODAa2,3.8,2.945
DODAa2,0,0.103
DODAa2,0.127,0.591
DODAa2,0.25,0.784
DODAa2,0.38,0.918
DODAa2,0.51,1.116
DODAa2,0.63,1.293
DODAa2,1.26,1.39
DODAa2,1.9,2
DODAa2,2.53,2.253
DODAa2,3.166,3.022
DODAa2,3.8,3.382
DODAa2-mut3,0,0.045
DODAa2-mut3,0.127,1.067
DODAa2-mut3,0.25,1.423
DODAa2-mut3,0.38,1.544
DODAa2-mut3,0.51,1.792
DODAa2-mut3,0.63,2.121
DODAa2-mut3,1.26,3.173
DODAa2-mut3,1.9,4.262
DODAa2-mut3,2.53,5.055
DODAa2-mut3,3.166,5.14
DODAa2-mut3,3.8,5.355
DODAa2-mut3,0,0.056
DODAa2-mut3,0.127,0.885
DODAa2-mut3,0.25,1.364
DODAa2-mut3,0.38,1.504
DODAa2-mut3,0.51,1.873
DODAa2-mut3,0.63,1.932
DODAa2-mut3,1.26,2.929
DODAa2-mut3,1.9,3.81
DODAa2-mut3,2.53,4.212
DODAa2-mut3,3.166,3.951
DODAa2-mut3,3.8,4.531
